, Read Input Time, Quick Sort Ckeck, Quick Sort Time, Merge Sort Check, Merge Sort Time, Heap Sort Check, Heap Sort Time, C++ Sort Check, C++ Sort Time
Test 01,  5.88,  Sorted,  0.06,  Sorted,  1.03,  Sorted,  0.55,  Sorted,  0.18
Test 02,  5.95,  Sorted,  0.07,  Sorted,  1.07,  Sorted,  0.77,  Sorted,  0.14
Test 03,  6.40,  Sorted,  0.22,  Sorted,  1.48,  Sorted,  0.72,  Sorted,  0.32
Test 04,  6.44,  Sorted,  0.22,  Sorted,  1.19,  Sorted,  0.80,  Sorted,  0.33
Test 05,  6.37,  Sorted,  0.22,  Sorted,  1.20,  Sorted,  0.70,  Sorted,  0.33
Test 06,  6.65,  Sorted,  0.22,  Sorted,  1.20,  Sorted,  0.70,  Sorted,  0.33
Test 07,  6.59,  Sorted,  0.24,  Sorted,  1.19,  Sorted,  0.70,  Sorted,  0.37
Test 08,  6.50,  Sorted,  0.22,  Sorted,  1.26,  Sorted,  0.72,  Sorted,  0.32
Test 09,  6.65,  Sorted,  0.22,  Sorted,  1.19,  Sorted,  0.77,  Sorted,  0.35
Test 10,  6.66,  Sorted,  0.22,  Sorted,  1.20,  Sorted,  0.71,  Sorted,  0.32
